session_id,distinct_areas,distinct_area_types,path_length_px,mean_step_px,revisit_ratio,backtracking_ratio,playtime_min,move_time_min,idle_time_min,explore_time_ratio,time_to_first_quest_min,mean_quest_duration_min,dialogs_started,dialogs_per_min,choices_made,quests_added,quests_completed,quest_completion_ratio,scene_changes,puzzle_starts,puzzle_solves,puzzle_solve_ratio,items_collected,exploration_index,goal_orientation,disorientation
1788365938_d262e01d0f0a76ed,5.0,4.0,13741.38,17.78,0.6429,0.6923,3.5045,2.1357,1.3689,0.5845,0.7808,1.0806,11.0,3.1388,0.0,5.0,2.0,0.4,13.0,1.0,1.0,1.0,8.0,0.0472,0.8,0.6969
1788368213_ff1e38c9df49a20c,7.0,4.0,23972.35,15.74,0.65,0.6842,5.8088,4.1304,1.6784,0.6016,1.4497,2.6355,19.0,3.2709,0.0,5.0,4.0,0.8,19.0,1.0,1.0,1.0,10.0,0.3728,0.7183,0.3113
1788368714_7661175286cd89df,7.0,4.0,25275.1,14.12,0.6818,0.7143,7.4425,5.3046,2.1378,0.6895,1.2333,2.5024,16.0,2.1498,0.0,4.0,3.0,0.75,21.0,1.0,1.0,1.0,11.0,0.5642,0.7201,0.75
1788369683_4423aa35f1b9cf6d,7.0,4.0,17884.67,18.83,0.65,0.6842,8.2281,2.7667,5.4615,0.7481,5.0449,3.4913,14.0,1.7015,0.0,5.0,4.0,0.8,19.0,1.0,1.0,1.0,11.0,0.4531,0.6,0.3113
1788370191_8258a38bed4343b3,7.0,4.0,14742.86,17.81,0.6111,0.6471,3.5152,2.0072,1.508,0.5575,0.7133,1.2922,11.0,3.1292,0.0,5.0,4.0,0.8,17.0,1.0,1.0,1.0,10.0,0.0289,0.9041,0.0667
